car_model,price_chf,mileage,engine_power_hp,power_mode,production_date,consumption_l_per_100km,transmission,listing_url
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-520d-xdrive-48v-m-sport-4x4-12853890
BMW M4 Cabrio Competition M xDrive (CH) INDIVIDUAL,85900,3229,510,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-m4-cabrio-competition-m-xdrive-ch-individual-12853889
BMW M4 Coupé Competition M xDrive FACELIFT,89900,6010,530,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-m4-coupe-competition-m-xdrive-facelift-12861826
FERRARI Roma 3.9 V8 T Carbon (CH) NOVITEC Wheels,199900,4999,620,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/ferrari-roma-39-v8-t-carbon-ch-novitec-wheels-12861563
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/ferrari-portofino-39-v8-t-ch-gratisservice-werksgarantie-12861560
BMW 520i M Sport / HeadUp / 4-Zonen Klima / Harman Kardon,51980,17600,190,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-520i-m-sport-headup-4-zonen-klima-harman-kardon-12856886
BMW 330i xDrive SAG M Sport / LCI / HeadUp / 360° Kamera,43950,21500,245,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-330i-xdrive-sag-m-sport-lci-headup-360-kamera-12856856
MERCEDES-BENZ S 63 AMG 4Matic (CH) Brabus FAB Desing,125000,27900,612,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/mercedes-benz-s-63-amg-4matic-ch-brabus-fab-desing-12861836
MERCEDES-BENZ GLE 450 d AMG Line 4Matic 9G-Tronic *Facelift*Werksgarantie*Luftfederung*,81980,5000,367,Diesel,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/mercedes-benz-gle-450-d-amg-line-4matic-9g-tronic-facelift-werksgarantie-luftfederung-12868710
MERCEDES-BENZ GLC 200 4Matic 9G-Tronic *AMG Line Felgen*Werksgarantie*Facelift*,48980,18000,204,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/mercedes-benz-glc-200-4matic-9g-tronic-amg-line-felgen-werksgarantie-facelift-12868709
