brand;model;car_model;price_chf;mileage;engine_power_hp;power_mode;production_date;consumption_l_per_100km;transmission;listing_url
BMW;M240i;BMW M240i xDrive Steptronic;48900.0;17000.0;374.0;Benzin;52.022;8.2;Automat;https://www.autoscout24.ch/de/d/bmw-m240i-xdrive-steptronic-12866725
BMW;M850i;BMW M850i xDrive Steptronic;62900.0;36000.0;530.0;Benzin;32.020;11.7;Automat;https://www.autoscout24.ch/de/d/bmw-m850i-xdrive-steptronic-12858467
VW;ID.7;VW ID.7 Tourer GTX United 4motion;67800.0;15.0;340.0;Elektro;Neues Fahrzeug;;Halbautomatik;https://www.autoscout24.ch/de/d/vw-id7-tourer-gtx-united-4motion-12866043
Renault;Captur 1.6;RENAULT Captur 1.6 E-Tech Plug-in Intens;21900.0;57000.0;159.0;Benzin;82.021;1.7;Automat;https://www.autoscout24.ch/de/d/renault-captur-16-e-tech-plug-in-intens-12853942
BMW;X3;BMW X3 xDrive 48V M40d Travel Steptronic;57900.0;41900.0;351.0;Diesel;52.022;;Automat;https://www.autoscout24.ch/de/d/bmw-x3-xdrive-48v-m40d-travel-steptronic-12869299
BMW;520d;BMW 520d xDrive Touring;39900.0;36000.0;201.0;Diesel;122.023;5.4;Automat;https://www.autoscout24.ch/de/d/bmw-520d-xdrive-touring-12868689
Suzuki;Vitara 1.4;SUZUKI Vitara 1.4 Compact+ Hybrid 4x4 Automat NEW MODEL;26900.0;1.0;110.0;Benzin;Neues Fahrzeug;6.4;Automat;https://www.autoscout24.ch/de/d/suzuki-vitara-14-compact-hybrid-4x4-automat-new-model-12859338
Suzuki;Vitara 1.4;SUZUKI Vitara 1.4 Compact+ Hybrid 4x4 Automat NEW MODEL;26900.0;1.0;110.0;Benzin;Neues Fahrzeug;6.4;Automat;https://www.autoscout24.ch/de/d/suzuki-vitara-14-compact-hybrid-4x4-automat-new-model-12859337
Suzuki;S;SUZUKI S-Cross 1.4 16V Compact+ MHD 4WD Automatic;27900.0;1.0;110.0;Benzin;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/suzuki-s-cross-14-16v-compact-mhd-4wd-automatic-12858670
ROLLS-ROYCE;Cullinan 6.7;ROLLS-ROYCE Cullinan 6.7 V12 Black Badge;359000.0;15800.0;600.0;Benzin;52.023;16.7;Automat;https://www.autoscout24.ch/de/d/rolls-royce-cullinan-67-v12-black-badge-12858618
Audi;RS6;AUDI RS6 Avant 4.0 TFSI V8 quattro Tiptronic / Akrapovic Exhaust **;48880.0;158000.0;560.0;Benzin;32.015;9.6;Automat;https://www.autoscout24.ch/de/d/audi-rs6-avant-40-tfsi-v8-quattro-tiptronic-akrapovic-exhaust-12852368
Cupra;Tavascan;CUPRA Tavascan VZ Extreme;52900.0;5.0;340.0;Elektro;Neues Fahrzeug;;Halbautomatik;https://www.autoscout24.ch/de/d/cupra-tavascan-vz-extreme-12856515
BMW;X3;BMW X3 xDrive M Competition Steptronic;62880.0;47500.0;510.0;Benzin;122.019;11.7;Automat;https://www.autoscout24.ch/de/d/bmw-x3-xdrive-m-competition-steptronic-12849950
VW;Golf;VW Golf Variant 1.5 eTSI mHEV Style DSG;30900.0;1.0;150.0;Benzin;Neues Fahrzeug;;Halbautomatik;https://www.autoscout24.ch/de/d/vw-golf-variant-15-etsi-mhev-style-dsg-12855210
Suzuki;SX4;SUZUKI SX4 S-Cross 1.4 16V Tradizio 4WD Automatic;19750.0;62600.0;140.0;Benzin;82.019;7.5;Automat;https://www.autoscout24.ch/de/d/suzuki-sx4-s-cross-14-16v-tradizio-4wd-automatic-12863796
BMW;M135;BMW M135 xDrive M Sport Pro;53900.0;6500.0;300.0;Benzin;122.024;7.8;Automat;https://www.autoscout24.ch/de/d/bmw-m135-xdrive-m-sport-pro-12858331
Hyundai;i30;HYUNDAI i30 Fastback 2.0 T-GDi N DCT;37900.0;27400.0;280.0;Benzin;12.023;8.4;Halbautomatik;https://www.autoscout24.ch/de/d/hyundai-i30-fastback-20-t-gdi-n-dct-12860412
Audi;Q7;AUDI Q7 SUV 50 TDI quattro S Line tiptronic | RS Style Paket;92900.0;10.0;286.0;Diesel;62.025;;Automat;https://www.autoscout24.ch/de/d/audi-q7-suv-50-tdi-quattro-s-line-tiptronic-rs-style-paket-12855495
BMW;X6 40d;BMW X6 40d xDrive;83900.0;24500.0;351.0;Diesel;52.023;7.1;Automat;https://www.autoscout24.ch/de/d/bmw-x6-40d-xdrive-12851237
Land Rover;Range;LAND ROVER Range Rover Sport 2.0 Si4 S Automatic;47800.0;66000.0;301.0;Benzin;102.020;11.9;Automat;https://www.autoscout24.ch/de/d/land-rover-range-rover-sport-20-si4-s-automatic-12845124
BMW;225e;BMW 225e xDrive Active Tourer;39900.0;39000.0;245.0;Benzin;102.023;0.7;Halbautomatik;https://www.autoscout24.ch/de/d/bmw-225e-xdrive-active-tourer-12850484
